ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
185	5426	0	1	0.000000	18.769628	18.769628	0.000000	0.000000	0	0	0
186	25479	3	0	0.000000	18.502178	18.487343	0.000000	0.000000	0	0	0
187	4610	2	1	0.000000	20.826898	20.807592	0.000000	0.000000	0	0	0
188	6978	0	0	0.000000	17.715678	17.715678	0.000000	0.000000	0	0	0
189	11950	1	1	0.000000	20.083849	20.074310	0.000000	0.000000	0	0	0
190	1016	2	1	0.000000	20.095472	20.095472	0.000000	0.000000	0	0	0
191	64	1	1	0.000000	18.328125	18.328125	0.000000	0.000000	0	0	0
192	100	1	1	0.000000	12.770000	12.770000	0.000000	0.000000	0	0	0
193	35	1	2	0.000000	35.942857	35.942857	0.000000	0.000000	0	0	0
194	4093	1	1	0.000000	16.400195	16.400195	0.000000	0.000000	0	0	0
195	2324	2	0	0.000000	19.885542	19.885542	0.000000	0.000000	0	0	0
196	290	1	2	0.000000	36.913793	36.913793	0.000000	0.000000	0	0	0
197	10586	1	2	0.000000	20.634895	20.634895	0.000000	0.000000	0	0	0
198	408	2	2	0.000000	161.414216	154.203431	0.000000	0.000000	0	0	0
199	26175	1	1	0.000000	18.937918	18.929131	0.000000	0.000000	0	0	0
200	23389	1	0	0.000000	17.441019	17.431870	0.000000	0.000000	0	0	0
201	1485	1	0	0.000000	16.999327	16.999327	0.000000	0.000000	0	0	0
202	81	1	1	0.000000	18.024691	18.024691	0.000000	0.000000	0	0	0
203	93	1	1	0.000000	79.150538	79.150538	0.000000	0.000000	0	0	0
204	90	1	1	0.000000	26.988889	16.600000	0.000000	0.000000	0	0	0
205	3	2	2	0.000000	69.333333	69.333333	0.000000	0.000000	0	0	0
206	14469	0	1	0.000000	19.103532	19.094823	0.000000	0.000000	0	0	0
207	1	1	2	0.000000	49.000000	49.000000	0.000000	0.000000	0	0	0
208	1902	2	1	0.000000	23.263933	23.263933	0.000000	0.000000	0	0	0
209	8025	1	1	0.000000	22.088100	22.088100	0.000000	0.000000	0	0	0
210	81	1	1	0.000000	21.012346	21.012346	0.000000	0.000000	0	0	0
211	1537	1	1	0.000000	26.066363	26.066363	0.000000	0.000000	0	0	0
212	130	1	1	0.000000	38.076923	38.076923	0.000000	0.000000	0	0	0
213	73	2	2	0.000000	52.109589	52.109589	0.000000	0.000000	0	0	0
214	4678	1	1	0.000000	22.790295	22.790295	0.000000	0.000000	0	0	0
215	5453	2	1	0.000000	15.711352	15.711352	0.000000	0.000000	0	0	0
216	1265	3	2	0.000000	59.389723	59.389723	0.000000	0.000000	0	0	0
217	14030	1	1	0.000000	20.573272	20.564790	0.000000	0.000000	0	0	0
218	128	1	2	0.000000	77.968750	39.023438	0.000000	0.000000	0	0	0
219	7259	2	1	0.000000	18.355008	18.355008	0.000000	0.000000	0	0	0
220	8302	1	0	0.000000	15.585883	15.585883	0.000000	0.000000	0	0	0
221	16369	1	1	0.000000	18.684159	18.670963	0.000000	0.000000	0	0	0
222	251	1	1	0.000000	19.541833	19.541833	0.000000	0.000000	0	0	0
223	43	2	2	0.000000	47.348837	47.348837	0.000000	0.000000	0	0	0
224	91	2	2	0.000000	33.307692	18.197802	0.000000	0.000000	0	0	0
225	423	1	1	0.000000	11.326241	11.326241	0.000000	0.000000	0	0	0
226	4083	1	1	0.000000	18.799412	18.799412	0.000000	0.000000	0	0	0
227	81	1	1	0.000000	23.654321	23.654321	0.000000	0.000000	0	0	0
228	1101	2	2	0.000000	141.145322	127.105359	0.000000	0.000000	0	0	0
229	2497	1	1	0.000000	20.107729	20.107729	0.000000	0.000000	0	0	0
230	138	1	1	0.000000	15.949275	15.949275	0.000000	0.000000	0	0	0
231	21	1	1	0.000000	2.857143	2.857143	0.000000	0.000000	0	0	0
232	1	4	4	0.000000	14926.000000	14926.000000	0.000000	0.000000	0	0	0
233	8187	2	0	0.000000	19.583242	19.552706	0.000000	0.000000	0	0	0
234	81	1	1	0.000000	11.740741	11.740741	0.000000	0.000000	0	0	0
235	95	1	1	0.000000	84.189474	51.705263	0.000000	0.000000	0	0	0
236	5	2	2	0.000000	98.000000	78.000000	0.000000	0.000000	0	0	0
237	31	1	1	0.000000	34.354839	34.354839	0.000000	0.000000	0	0	0
238	3	2	1	0.000000	20.333333	17.000000	0.000000	0.000000	0	0	0
239	62	2	1	0.000000	18.080645	18.080645	0.000000	0.000000	0	0	0
240	262	0	1	0.000000	15.587786	15.587786	0.000000	0.000000	0	0	0
241	2	1	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
242	121	1	1	0.000000	122.090909	109.785124	0.000000	0.000000	0	0	0
243	145	2	2	0.000000	123.896552	97.034483	0.000000	0.000000	0	0	0
244	204	1	1	0.000000	9.215686	9.215686	0.000000	0.000000	0	0	0
245	383	1	1	0.000000	18.684073	18.684073	0.000000	0.000000	0	0	0
246	1470	1	1	0.000000	23.973469	23.973469	0.000000	0.000000	0	0	0
247	6423	2	1	0.000000	18.549743	18.530126	0.000000	0.000000	0	0	0
